|Source: Census projections from 2012_Pop_Projection/NP2012_D4.csv for ages over 25
year	age	male	hispan
2006	68	1	1	217
2006	69	1	1	216
2006	70	1	1	181
2006	71	1	1	168
2006	72	1	1	170
2006	73	1	1	165
2006	74	1	1	170
2006	75	1	1	131
2006	76	1	1	119
2006	77	1	1	106
2006	78	1	1	93
2006	79	1	1	109
2006	80	1	1	97
2006	81	1	1	82
2006	82	1	1	78
2006	83	1	1	71
2006	84	1	1	93
2006	85	1	1	399
2007	25	0	0	8602
2007	26	0	0	8658
2007	27	0	0	8440
2007	28	0	0	7962
2007	29	0	0	7295
2007	30	0	0	6438
2007	31	0	0	5706
2007	32	0	0	5089
2007	33	0	0	4534
2007	34	0	0	4114
2007	35	0	0	3661
2007	36	0	0	3387
2007	37	0	0	3178
2007	38	0	0	2998
2007	39	0	0	2836
2007	40	0	0	2566
2007	41	0	0	2315
2007	42	0	0	2055
2007	43	0	0	1841
2007	44	0	0	1683
2007	45	0	0	1436
2007	46	0	0	1286
2007	47	0	0	1175
2007	48	0	0	1064
2007	49	0	0	1021
2007	50	0	0	941
2007	51	0	0	960
2007	52	0	0	975
2007	53	0	0	885
2007	54	0	0	814
2007	55	0	0	760
2007	56	0	0	828
2007	57	0	0	927
2007	58	0	0	948
2007	59	0	0	1030
2007	60	0	0	1046
2007	61	0	0	1006
2007	62	0	0	973
2007	63	0	0	920
2007	64	0	0	892
2007	65	0	0	873
2007	66	0	0	857
2007	67	0	0	847
2007	68	0	0	831
2007	69	0	0	713
2007	70	0	0	535
2007	71	0	0	582
2007	72	0	0	598
2007	73	0	0	492
2007	74	0	0	444
2007	75	0	0	378
2007	76	0	0	298
2007	77	0	0	212
2007	78	0	0	183
2007	79	0	0	166
2007	80	0	0	93
2007	81	0	0	81
2007	82	0	0	98
2007	83	0	0	55
2007	84	0	0	12
2007	85	0	0	-3
2007	25	0	1	3405
2007	26	0	1	3143
2007	27	0	1	2899
2007	28	0	1	2716
2007	29	0	1	2628
2007	30	0	1	2495
2007	31	0	1	2359
2007	32	0	1	2193
2007	33	0	1	1980
2007	34	0	1	1750
2007	35	0	1	1507
2007	36	0	1	1380
2007	37	0	1	1245
2007	38	0	1	1058
2007	39	0	1	930
2007	40	0	1	813
2007	41	0	1	737
2007	42	0	1	674
2007	43	0	1	588
2007	44	0	1	647
2007	45	0	1	622
2007	46	0	1	567
2007	47	0	1	603
2007	48	0	1	551
2007	49	0	1	511
2007	50	0	1	422
2007	51	0	1	425
2007	52	0	1	510
2007	53	0	1	456
2007	54	0	1	478
2007	55	0	1	471
2007	56	0	1	496
2007	57	0	1	520
2007	58	0	1	590
2007	59	0	1	574
2007	60	0	1	496
2007	61	0	1	513
2007	62	0	1	434
2007	63	0	1	430
2007	64	0	1	499
2007	65	0	1	478
2007	66	0	1	444
2007	67	0	1	396
2007	68	0	1	324
2007	69	0	1	300
2007	70	0	1	309
2007	71	0	1	308
2007	72	0	1	312
2007	73	0	1	255
2007	74	0	1	238
2007	75	0	1	189
2007	76	0	1	163
2007	77	0	1	180
2007	78	0	1	178
2007	79	0	1	169
2007	80	0	1	131
2007	81	0	1	138
2007	82	0	1	133
2007	83	0	1	116
2007	84	0	1	108
2007	85	0	1	644
2007	25	1	0	7320
2007	26	1	0	7203
2007	27	1	0	6867
2007	28	1	0	6506
2007	29	1	0	6171
2007	30	1	0	5699
2007	31	1	0	5259
2007	32	1	0	4865
2007	33	1	0	4351
2007	34	1	0	3886
2007	35	1	0	3394
2007	36	1	0	2998
2007	37	1	0	2755
2007	38	1	0	2511
2007	39	1	0	2361
2007	40	1	0	2148
2007	41	1	0	1943
2007	42	1	0	1758
2007	43	1	0	1547
2007	44	1	0	1403
2007	45	1	0	1257
2007	46	1	0	1176
2007	47	1	0	1092
2007	48	1	0	969
2007	49	1	0	918
2007	50	1	0	760
2007	51	1	0	654
2007	52	1	0	638
2007	53	1	0	568
2007	54	1	0	518
2007	55	1	0	467
2007	56	1	0	452
2007	57	1	0	483
2007	58	1	0	486
2007	59	1	0	495
2007	60	1	0	369
2007	61	1	0	281
2007	62	1	0	336
2007	63	1	0	380
2007	64	1	0	528
2007	65	1	0	593
2007	66	1	0	638
2007	67	1	0	703
2007	68	1	0	650
2007	69	1	0	636
2007	70	1	0	557
2007	71	1	0	551
2007	72	1	0	550
2007	73	1	0	464
2007	74	1	0	401
2007	75	1	0	316
2007	76	1	0	253
2007	77	1	0	241
2007	78	1	0	207
2007	79	1	0	159
2007	80	1	0	114
2007	81	1	0	79
2007	82	1	0	73
2007	83	1	0	48
2007	84	1	0	46
2007	85	1	0	111
2007	25	1	1	5183
2007	26	1	1	4795
2007	27	1	1	4468
2007	28	1	1	4092
2007	29	1	1	3868
2007	30	1	1	3216
2007	31	1	1	2810
2007	32	1	1	2693
2007	33	1	1	2349
2007	34	1	1	2142
2007	35	1	1	1667
2007	36	1	1	1422
2007	37	1	1	1459
2007	38	1	1	1214
2007	39	1	1	1135
2007	40	1	1	925
2007	41	1	1	833
2007	42	1	1	878
2007	43	1	1	669
2007	44	1	1	728
2007	45	1	1	592
2007	46	1	1	458
2007	47	1	1	528
2007	48	1	1	473
2007	49	1	1	535
2007	50	1	1	481
2007	51	1	1	376
2007	52	1	1	387
2007	53	1	1	411
2007	54	1	1	320
2007	55	1	1	178
2007	56	1	1	197
2007	57	1	1	293
2007	58	1	1	317
2007	59	1	1	291
2007	60	1	1	250
2007	61	1	1	260
2007	62	1	1	295
2007	63	1	1	275
2007	64	1	1	311
2007	65	1	1	276
2007	66	1	1	218
2007	67	1	1	218
2007	68	1	1	203
2007	69	1	1	200
2007	70	1	1	167
2007	71	1	1	159
2007	72	1	1	162
2007	73	1	1	158
2007	74	1	1	162
2007	75	1	1	124
2007	76	1	1	113
2007	77	1	1	102
2007	78	1	1	89
2007	79	1	1	103
2007	80	1	1	91
2007	81	1	1	77
2007	82	1	1	71
2007	83	1	1	65
2007	84	1	1	84
2007	85	1	1	333
