,,,Total: NS-SeC,1.1 Large employers and higher managerial and administrative occupations,1.2 Higher professional occupations,"2. Lower managerial, administrative and professional occupations",3. Intermediate occupations,4. Small employers and own account workers,5. Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,L14.1 Never worked,L14.2 Long-term unemployed,L15 Full-time students
,,Level 2 qualifications,"54,772","2,799","4,446","14,650","6,317","10,395","5,952","4,646","4,913",447,93,114
,,Apprenticeship,"119,502","3,533","4,209","16,240","5,779","26,385","31,456","12,900","18,371",389,132,108
,,Level 3 qualifications,"56,924","3,608","5,884","14,697","4,705","10,063","9,566","3,764","4,070",259,117,191
,,Level 4 qualifications and above,"204,863","16,194","72,915","70,066","8,822","19,105","6,998","4,913","4,209",839,518,284
,,Other qualifications,"61,706","1,616","2,213","9,602","4,220","12,641","11,075","8,045","10,725","1,321",130,118
,Age 75 or over,Total: Highest level of qualification,"1,658,921","63,182","167,285","320,198","118,261","227,249","259,244","194,652","257,679","47,084","1,152","2,935"
,,No Qualifications,"848,885","14,787","14,285","96,179","58,391","124,580","148,772","148,036","203,006","39,049",461,"1,339"
,,Level 1 qualifications,"48,376","2,216","2,900","12,997","6,733","7,386","5,723","4,817","4,343",990,86,185
,,Level 2 qualifications,"99,311","6,455","8,701","32,651","14,760","15,596","9,417","5,629","4,838",946,86,232
,,Apprenticeship,"166,248","5,351","6,075","25,626","8,152","29,831","50,777","15,778","23,619",777,92,170
,,Level 3 qualifications,"71,322","5,079","8,409","21,268","6,914","10,490","11,260","3,655","3,409",524,59,255
,,Level 4 qualifications and above,"317,604","25,447","121,799","110,091","14,027","22,252","11,431","5,341","4,490","1,939",267,520
,,Other qualifications,"107,175","3,847","5,116","21,386","9,284","17,114","21,864","11,396","13,974","2,859",101,234
Females,Total: Age,Total: Highest level of qualification,"20,734,104","342,593","1,114,421","4,781,525","4,162,285","1,209,876","882,599","3,792,114","2,178,447","1,203,822","283,653","782,769"
,,No Qualifications,"5,279,644","20,592","20,584","338,348","736,395","279,154","272,237","1,438,003","1,258,068","817,737","64,125","34,401"
,,Level 1 qualifications,"2,740,518","29,807","42,879","394,651","756,587","172,158","135,010","678,206","304,753","108,297","68,080","50,090"
,,Level 2 qualifications,"3,137,389","43,119","71,535","560,215","985,259","201,800","153,828","688,494","221,114","60,744","56,295","94,986"
,,Apprenticeship,"188,882","1,356","1,992","20,080","30,131","35,175","19,115","38,938","35,330","2,215","2,135","2,415"
,,Level 3 qualifications,"2,339,615","37,204","68,782","501,709","638,036","142,948","114,011","360,874","98,818","30,122","26,842","320,269"
,,Level 4 qualifications and above,"5,890,880","199,495","883,620","2,808,084","788,928","286,823","119,666","355,988","100,655","64,091","49,985","233,545"
,,Other qualifications,"1,157,176","11,020","25,029","158,438","226,949","91,818","68,732","231,611","159,709","120,616","16,191","47,063"
