| This is a comment (do not remove!)
male	age_elsa	year
1	54	1993	1.1418049372723593
1	55	1993	1.1417767960765228
1	56	1993	1.141773108089548
1	57	1993	1.1417461113898646
1	58	1993	1.1417226110555636
1	59	1993	1.1416998775754734
1	60	1993	1.1416784253701002
1	61	1993	1.1416332643263005
1	62	1993	1.1416046218316451
1	63	1993	1.1415807430585663
1	64	1993	1.1415389454920397
1	65	1993	1.1415045395590144
1	66	1993	1.1414642207899521
1	67	1993	1.1414168103688045
1	68	1993	1.1413671744547487
1	69	1993	1.1413107842440608
1	70	1993	1.1412438607381272
1	71	1993	1.141178703805461
1	72	1993	1.1410971789696709
1	73	1993	1.1410086678490245
1	74	1993	1.1409168724529217
1	75	1993	1.1408071255773038
1	76	1993	1.1406745747286928
1	77	1993	1.1405388301238586
1	78	1993	1.1403874310170063
1	79	1993	1.140220411187257
1	80	1993	1.1400232299683304
1	81	1993	1.1397983421578965
1	82	1993	1.1395444091923923
1	83	1993	1.1392443001819266
1	84	1993	1.1389093785745592
1	85	1993	1.1385294895404268
1	86	1993	1.1381049865753408
1	87	1993	1.1376409886068852
1	88	1993	1.1371239392722745
1	89	1993	1.136549552035392
1	90	1993	1.1359118453986354
1	91	1993	1.1278055723486597
1	92	1993	1.1197329909289102
1	93	1993	1.1117055680667305
1	94	1993	1.103736799156859
1	95	1993	1.095847691787719
1	96	1993	1.088055913047116
1	97	1993	1.0802983000060622
1	98	1993	1.07263220776224
1	99	1993	1.0650872615165776
1	100	1993	1.0577248551361336
1	50	1994	1.1281223192208711
1	51	1994	1.1281496441623389
1	52	1994	1.128137142857143
1	53	1994	1.128168588331822
1	54	1994	1.128126264670174
1	55	1994	1.1281120137770955
1	56	1994	1.1281074028292817
1	57	1994	1.128073256397391
1	58	1994	1.1280388515926296
1	59	1994	1.1280247974785755
1	60	1994	1.127998469375553
1	61	1994	1.1279786812315553
1	62	1994	1.1279547581268563
1	63	1994	1.1279146481687432
1	64	1994	1.1278901102741998
1	65	1994	1.1278534370946822
1	66	1994	1.1278225988191284
1	67	1994	1.1277743783723646
1	68	1994	1.1277262568397257
1	69	1994	1.1276794808024824
1	70	1994	1.1276313066962875
